"loan_amount","tenor_years","interest_rate","debt_to_income","credit_score","collateral_ratio","industry","company_age_years","prev_defaults","default_flag","PD","LGD","EAD","EL"
457488216,2,12.05,0.21,579,1.914,"IT",5,1,0,0.05213862657547,0,457488216,0
468600631,4,16.76,0.813,403,0.918,"Infrastructure",9,0,0,0.138856962323189,0.082,468600631,5335613.73339794
143783628,7,12.92,0.222,320,0.867,"Infrastructure",20,3,0,0.110569402575493,0.133,143783628,2114443.28979689
415393365,3,11.68,0.837,477,0.355,"Manufacturing",43,1,0,0.162595763802528,0.645,415393365,43564074.942137
321231014,10,13.93,0.225,495,1.583,"Manufacturing",10,0,0,0.0492578558623791,0,321231014,0
260028879,10,12.06,0.208,698,0.908,"Retail",21,0,0,0.018072372302413,0.092,260028879,432339.161381373
368557569,1,10.76,0.274,664,0.104,"Real_Estate",30,0,0,0.0124135268852115,0.896,368557569,4099288.96521059
68198632,9,9.32,0.479,841,1.384,"Infrastructure",47,0,1,0.0839394107460976,0,68198632,0
328839153,3,8.01,0.612,737,0.383,"Manufacturing",48,0,0,0.017394196242094,0.617,328839153,3529173.83252881
352827327,8,12.88,0.328,785,1.592,"IT",12,0,0,0.00623796507716179,0,352827327,0
229413146,1,17.35,0.882,374,0.929,"Retail",45,1,0,0.125084549188614,0.071,229413146,2037418.83611997
359837014,9,17.57,0.522,452,1.946,"Manufacturing",5,0,0,0.213784739375114,0,359837014,0
467401451,7,11.66,0.668,614,1.656,"Manufacturing",13,0,0,0.0651290714740753,0,467401451,0
128458983,9,17.67,0.539,521,1.699,"Manufacturing",17,1,0,0.199919700622559,0,128458983,0
231684118,2,10.37,0.268,576,1.086,"Retail",44,0,0,0.0147815318778157,0,231684118,0
470067247,5,9.6,0.262,843,0.261,"IT",2,0,0,0.0602054260671139,0.739,470067247,20914142.5766286
489134988,2,14.13,0.331,490,0.158,"Manufacturing",40,0,0,0.0428421124815941,0.842,489134988,17644595.1389957
59626193,6,15.33,0.482,417,1.364,"IT",25,2,1,0.713583767414093,0,59626193,0
238023544,9,10.68,0.211,403,1.428,"Infrastructure",36,0,0,0.0659834891557693,0,238023544,0
280606040,9,17.35,0.782,317,1.242,"IT",3,1,0,0.555582404136658,0,280606040,0
452111662,3,16.21,0.289,352,1.188,"Retail",10,0,0,0.191757753491402,0,452111662,0
70216374,8,15.14,0.448,697,1.317,"Real_Estate",3,0,0,0.0916721150279045,0,70216374,0
494456973,10,11.25,0.295,654,1.698,"Manufacturing",40,3,0,0.0731474533677101,0,494456973,0
473387448,9,9.7,0.378,482,1.558,"Real_Estate",43,1,0,0.0731651410460472,0,473387448,0
42136341,1,16.04,0.837,380,0.905,"Real_Estate",38,0,0,0.0936225950717926,0.095,42136341,374766.791168747
257591680,3,15.84,0.674,637,1.672,"Real_Estate",24,1,1,0.210275501012802,0,257591680,0
195711530,8,12.08,0.691,428,1.972,"IT",46,1,1,0.317571491003036,0,195711530,0
452963327,6,8.97,0.562,424,1.503,"Manufacturing",33,0,0,0.141714081168175,0,452963327,0
224037844,4,9.64,0.134,769,0.267,"IT",11,0,0,0.00973307527601719,0.733,224037844,1598363.08784086
418166126,7,14.31,0.637,585,1.498,"IT",41,0,0,0.0638824924826622,0,418166126,0
369060213,6,15.7,0.737,482,1.458,"Manufacturing",24,0,0,0.223085060715675,0,369060213,0
405716515,4,16.55,0.708,353,0.304,"Retail",46,0,0,0.214102700352669,0.696,405716515,60458041.0016651
194666033,5,17.93,0.82,673,1.894,"Infrastructure",11,2,0,0.208194553852081,0,194666033,0
342899695,4,11.58,0.403,452,0.019,"IT",15,1,1,0.329476684331894,0.981,342899695,110830882.930244
2970221,4,9.6,0.427,809,0.647,"Infrastructure",3,2,0,0.149221062660217,0.353,2970221,156456.49548636
416625124,1,10.71,0.391,407,1.577,"Retail",8,0,0,0.136063441634178,0,416625124,0
4659739,9,11.3,0.83,649,1.481,"IT",19,3,1,0.61126035451889,0,4659739,0
104621827,9,9.35,0.212,818,1.547,"Infrastructure",45,0,0,0.0120578398928046,0,104621827,0
453394102,6,9.21,0.607,619,1.277,"Manufacturing",35,0,0,0.0273383054882288,0,453394102,0
306277543,9,13.95,0.227,868,0.69,"Infrastructure",33,1,0,0.0161400251090527,0.31,306277543,1532431.44265128
190400061,2,17.44,0.692,464,0.696,"Real_Estate",33,0,1,0.120805576443672,0.304,190400061,6992422.29370067
218450021,9,17.04,0.739,373,0.931,"IT",19,2,1,0.593899965286255,0.069,218450021,8951884.73231903
19678085,8,13.51,0.399,433,1.904,"Real_Estate",4,3,1,0.551212549209595,0,19678085,0
486796417,2,11.87,0.416,529,0.491,"Infrastructure",34,0,0,0.0353449247777462,0.509,486796417,8757743.41513916
216443873,10,8.1,0.84,416,0.784,"Retail",45,0,0,0.168203562498093,0.216,216443873,7863832.1922087
478830722,7,17.36,0.489,370,1.372,"IT",4,0,0,0.308467119932175,0,478830722,0
443989698,8,8.14,0.517,683,0.421,"Retail",41,0,0,0.0368298292160034,0.579,443989698,9467845.49083186
320349406,2,11.63,0.366,854,0.262,"Infrastructure",27,2,0,0.0850788205862045,0.738,320349406,20114152.8328227
485512339,2,16.26,0.415,319,0.056,"IT",12,1,0,0.383652776479721,0.944,485512339,175837140.087653
309800265,7,13.71,0.34,667,0.671,"Retail",32,0,0,0.017035685479641,0.329,309800265,1736350.09922026
167380178,4,14.18,0.644,698,1.64,"Real_Estate",36,0,0,0.0239806938916445,0,167380178,0
174027376,5,11.82,0.707,593,1.017,"IT",18,0,0,0.114190652966499,0,174027376,0
199844220,5,8.23,0.465,372,0.214,"Manufacturing",3,0,0,0.327878713607788,0.786,199844220,51502387.2995837
392561695,1,15.17,0.403,770,1.474,"Retail",12,2,0,0.0652035400271416,0,392561695,0
20429309,4,9.14,0.419,641,1.437,"Infrastructure",10,0,0,0.067637026309967,0,20429309,0
374648898,7,15.42,0.249,454,1.256,"IT",38,0,0,0.0288940835744143,0,374648898,0
338961138,7,14.55,0.713,838,1.332,"Manufacturing",40,1,0,0.0384463034570217,0,338961138,0
86460901,5,13.26,0.256,608,1.56,"IT",42,1,0,0.0250918362289667,0,86460901,0
131282894,2,13.18,0.436,718,0.015,"Manufacturing",17,0,0,0.0722775906324387,0.985,131282894,9346479.10053023
257692054,4,10.08,0.615,571,1.942,"Infrastructure",34,1,0,0.157168239355087,0,257692054,0
338128030,7,8.31,0.369,536,1.102,"Manufacturing",12,0,0,0.0424141809344292,0,338128030,0
491425782,6,16.99,0.136,466,0.549,"IT",5,0,0,0.0989433526992798,0.451,491425782,21929114.8277494
380012590,2,15.74,0.335,674,1.066,"IT",29,0,0,0.0128036756068468,0,380012590,0
283677724,7,9.66,0.592,361,0.774,"Manufacturing",11,2,1,0.52106910943985,0.226,283677724,33406347.9768484
424995170,7,11.35,0.166,329,1.563,"Manufacturing",9,0,0,0.049361776560545,0,424995170,0
95547494,10,13.7,0.162,521,0.432,"IT",32,0,0,0.0312343649566174,0.568,95547494,1695119.48942657
136372021,5,16.93,0.857,474,0.364,"Manufacturing",3,1,1,0.690573334693909,0.636,136372021,59895224.5073837
414251084,8,8.4,0.355,858,0.393,"Manufacturing",42,1,0,0.0418747588992119,0.607,414251084,10529425.209606
346909205,6,14.74,0.306,536,1.794,"Manufacturing",29,0,0,0.0777039974927902,0,346909205,0
121031825,2,15.97,0.178,836,1.999,"Real_Estate",13,0,0,0.0289623737335205,0,121031825,0
22451409,3,16.82,0.381,302,1.703,"Manufacturing",22,1,0,0.164595380425453,0,22451409,0
71099068,9,10.57,0.872,841,0.914,"Manufacturing",25,0,0,0.0786951780319214,0.086,71099068,481183.228018077
108976322,3,8.25,0.528,877,1.981,"Retail",22,0,0,0.0211075339466333,0,108976322,0
240219884,9,13.56,0.696,853,0.087,"Real_Estate",19,0,0,0.0803457200527191,0.913,240219884,17621483.9100271
99507761,5,15.72,0.307,677,1.857,"Real_Estate",39,0,0,0.0248601641505957,0,99507761,0
359958563,5,16.76,0.587,363,0.699,"IT",11,0,1,0.30842462182045,0.301,359958563,33417045.1829566
4934485,3,16.53,0.117,812,0.401,"Real_Estate",19,1,0,0.0295959673821926,0.599,4934485,87478.4734076433
188369492,8,17.69,0.751,438,1.416,"Retail",43,0,0,0.232922419905663,0,188369492,0
257689446,2,15,0.639,595,1.058,"Retail",20,3,0,0.368637472391129,0,257689446,0
1783707,1,11.68,0.823,503,0.921,"Manufacturing",50,1,0,0.09125866740942,0.079,1783707,12859.5191856395
291220397,3,9.32,0.66,711,0.585,"Infrastructure",5,1,0,0.119948953390121,0.415,291220397,14496606.4577924
79794699,7,15.51,0.146,709,1.904,"Manufacturing",32,1,0,0.0148826176300645,0,79794699,0
180155125,1,12.81,0.422,883,0.143,"IT",2,1,1,0.430801123380661,0.857,180155125,66512652.9094954
323170307,8,16.81,0.266,397,0.879,"Retail",5,1,0,0.185770839452744,0.121,323170307,7264309.92532849
388135858,2,8.28,0.334,606,0.063,"Retail",17,0,0,0.0331775657832623,0.937,388135858,12066126.5750547
282259774,3,8.99,0.722,645,1.924,"Manufacturing",5,0,0,0.115200713276863,0,282259774,0
117617996,1,10.84,0.269,673,0.988,"IT",6,2,0,0.0652020871639252,0.012,117617996,92027.2659268585
45900278,6,16.01,0.352,311,1.72,"Retail",10,0,0,0.224107712507248,0,45900278,0
43720420,9,10.27,0.88,724,0.238,"IT",27,0,0,0.0537614263594151,0.762,43720420,1791059.77085732
153303966,3,8.42,0.63,537,1.394,"Retail",13,0,0,0.0854326486587524,0,153303966,0
334045831,3,14.35,0.407,689,1.26,"Infrastructure",19,0,0,0.00730568589642644,0,334045831,0
1119209,1,13.06,0.633,370,1.151,"Manufacturing",31,0,0,0.0670945420861244,0,1119209,0
105076409,5,17.85,0.489,744,1.581,"Retail",44,0,0,0.0332985892891884,0,105076409,0
466584030,6,10.73,0.517,412,1.345,"Real_Estate",7,1,0,0.304556995630264,0,466584030,0
462896730,6,14.32,0.534,544,1.784,"Retail",16,0,0,0.078462041914463,0,462896730,0
367313056,4,14.93,0.873,395,1.771,"IT",29,3,1,0.671635091304779,0,367313056,0
167202920,3,11.38,0.427,527,0.798,"Retail",18,1,1,0.223791360855103,0.202,167202920,7558550.93916086
258016602,7,9.11,0.502,739,1.396,"Manufacturing",10,1,0,0.0959754809737206,0,258016602,0
372243349,10,16.22,0.893,374,1.732,"Infrastructure",15,0,1,0.269448190927505,0,372243349,0
309960461,2,16.53,0.46,397,0.332,"Real_Estate",25,0,0,0.362054526805878,0.668,309960461,74964688.8079723
313496427,1,15.78,0.496,521,1.743,"IT",20,0,0,0.192147552967072,0,313496427,0
109361691,3,17.97,0.684,753,0.546,"IT",49,0,0,0.0394715182483196,0.454,109361691,1959769.07981601
109067088,3,13.98,0.21,503,1.293,"Infrastructure",20,0,0,0.0201206970959902,0,109067088,0
195083569,1,11.57,0.537,553,0.854,"Manufacturing",27,2,0,0.123138062655926,0.146,195083569,3507243.06042889
471285390,4,10.56,0.599,469,0.587,"Manufacturing",38,0,0,0.0417696312069893,0.413,471285390,8130077.1935529
481341399,1,17,0.141,702,1.461,"Manufacturing",23,3,0,0.0446653105318546,0,481341399,0
370187784,8,15.2,0.791,716,1.659,"Retail",5,0,0,0.0840983837842941,0,370187784,0
366889707,2,8.03,0.497,461,0.843,"IT",19,0,0,0.064326249063015,0.157,366889707,3705300.27136876
268344884,1,15.55,0.223,669,0.062,"Manufacturing",31,0,0,0.0384703800082207,0.938,268344884,9683283.2217759
2134210,6,15.45,0.191,542,0.821,"IT",8,0,0,0.0566028542816639,0.179,2134210,21623.6255969281
304859789,5,14.15,0.862,384,1.819,"Manufacturing",21,0,0,0.192098468542099,0,304859789,0
418563978,2,10.55,0.563,508,0.42,"Manufacturing",3,0,0,0.28664556145668,0.58,418563978,69588113.7580239
376009759,10,17.73,0.587,501,1.787,"Infrastructure",49,0,0,0.0913797691464424,0,376009759,0
226913055,2,15.83,0.328,548,0.883,"Manufacturing",37,0,0,0.0209794454276562,0.117,226913055,556979.676340843
268359207,7,17.89,0.442,661,0.909,"Manufacturing",4,0,0,0.100048564374447,0.091,268359207,2443254.75912837
269150971,4,17.06,0.115,592,0.03,"Manufacturing",41,0,0,0.0535903424024582,0.97,269150971,13991175.9130288
1689041,7,9.61,0.746,682,1.2,"Retail",6,0,0,0.122418366372585,0,1689041,0
