strike,maturity_days,log_moneyness,iv,call_price,put_price
21000,7,-0.112478,0.2082,2526.1676,0.0058
21000,14,-0.112478,0.204324,2552.8183,0.5274
21000,30,-0.112478,0.196975,2620.2923,8.3996
21000,45,-0.112478,0.191637,2689.3634,21.7483
21000,60,-0.112478,0.187466,2760.3621,37.173
21000,90,-0.112478,0.181658,2902.8751,68.9826
21500,7,-0.088947,0.200658,2026.8822,0.0975
21500,14,-0.088947,0.196783,2056.0907,2.5547
21500,30,-0.088947,0.189434,2134.9269,20.3701
21500,45,-0.088947,0.184096,2214.0006,42.3946
21500,60,-0.088947,0.179924,2292.9303,64.4272
21500,90,-0.088947,0.174116,2446.8357,104.9934
22000,7,-0.065958,0.193664,1528.6071,1.1995
22000,14,-0.065958,0.189789,1565.6246,10.8436
22000,30,-0.065958,0.18244,1664.3493,47.1285
22000,45,-0.065958,0.177102,1756.2871,80.6902
22000,60,-0.065958,0.17293,1844.07,110.2529
22000,90,-0.065958,0.167123,2009.2785,159.4864
22500,7,-0.043485,0.187185,1038.2623,10.2318
22500,14,-0.043485,0.18331,1095.1259,39.0998
22500,30,-0.043485,0.175961,1222.2882,102.4032
22500,45,-0.043485,0.170623,1327.8504,148.2627
22500,60,-0.043485,0.166451,1423.7401,184.609
22500,90,-0.043485,0.160644,1597.9387,240.1968
23000,7,-0.021506,0.181191,586.4788,57.8254
23000,14,-0.021506,0.177315,674.2192,116.9482
23000,30,-0.021506,0.169966,828.7314,206.1823
23000,45,-0.021506,0.164628,943.8907,260.3122
23000,60,-0.021506,0.160457,1044.3406,299.8954
23000,90,-0.021506,0.154649,1222.0528,356.3611
23500,7,0.0,0.175652,242.8418,213.5655
23500,14,0.0,0.171777,345.1141,286.5981
23500,30,0.0,0.164428,506.1598,380.9466
23500,45,0.0,0.15909,620.6801,433.1107
23500,60,0.0,0.154918,718.961,469.2018
23500,90,0.0,0.14911,891.3665,517.7249
24000,7,0.021053,0.170544,62.9097,533.0106
24000,14,0.021053,0.166669,137.3756,577.6145
24000,30,0.021053,0.15932,270.7829,642.9056
24000,45,0.021053,0.153982,370.6875,679.1273
24000,60,0.021053,0.14981,458.1716,703.0984
24000,90,0.021053,0.144002,614.3815,732.7901
24500,7,0.041673,0.165842,8.6842,978.1621
24500,14,0.041673,0.161967,39.6608,978.6547
24500,30,0.041673,0.154618,123.1536,992.6122
24500,45,0.041673,0.149279,197.1387,1001.5877
24500,60,0.041673,0.145108,266.2828,1005.8956
24500,90,0.041673,0.1393,396.1626,1006.6213
25000,7,0.061875,0.161523,0.5551,1469.4101
25000,14,0.061875,0.157648,7.7743,1445.5232
25000,30,0.061875,0.150299,46.2196,1413.0141
25000,45,0.061875,0.144961,91.5042,1391.9623
25000,60,0.061875,0.140789,138.9942,1373.2929
25000,90,0.061875,0.134982,236.4931,1339.002
25500,7,0.081678,0.157568,0.0147,1968.2468
25500,14,0.081678,0.153692,0.9765,1937.4803
25500,30,0.081678,0.146343,13.9196,1878.05
25500,45,0.081678,0.141005,36.3601,1832.8274
25500,60,0.081678,0.136834,64.1924,1793.1771
25500,90,0.081678,0.131026,129.3449,1723.904
26000,7,0.101096,0.153955,0.0001,2467.6094
26000,14,0.101096,0.15008,0.0749,2435.3337
26000,30,0.101096,0.142731,3.2822,2364.7485
26000,45,0.101096,0.137393,12.1538,2304.6302
26000,60,0.101096,0.133221,25.8697,2249.5404
26000,90,0.101096,0.127414,64.1781,2150.7874
