stock,ann_vol_pct,beta_portfolio,marginal_var,component_var_rs,component_var_pct,pc1_loading,pc2_loading,pc3_loading
RELIANCE,29.3292,0.195261,0.454244,454244.4,9.3872,0.305018,-0.009448,0.229406
HDFCBANK,26.905,0.193168,0.449376,449375.86,9.2866,0.33502,-0.211955,-0.052815
INFY,28.0669,0.186036,0.432786,432785.61,8.9437,0.307004,0.45843,-0.163513
TCS,24.4058,0.154967,0.360508,360507.86,7.4501,0.295713,0.476279,-0.136977
ICICIBANK,31.248,0.252406,0.587183,587183.34,12.1344,0.373378,-0.277035,-0.106277
HINDUNILVR,23.5764,0.112334,0.261328,261328.12,5.4005,0.212125,0.183266,0.895965
SBIN,32.6146,0.240709,0.559974,559973.9,11.5721,0.338059,-0.290632,-0.163469
WIPRO,29.4004,0.180765,0.420523,420522.99,8.6903,0.280985,0.445805,-0.235544
AXISBANK,36.5226,0.282629,0.657493,657492.71,13.5874,0.353046,-0.281397,-0.019708
BAJFINANCE,38.071,0.281806,0.655578,655577.87,13.5478,0.33278,-0.212737,0.049449
